ルーム,対戦者,結果
ルーム1: コンピューター82(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム35: コンピューター29(チョキ) vs コンピューター59(グー) - 勝者: コンピューター59
ルーム36: コンピューター5(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム1: コンピューター82(グー) vs コンピューター63(グー) - あいこ
ルーム1: コンピューター82(パ―) vs コンピューター63(パ―) - あいこ
ルーム1: コンピューター82(グー) vs コンピューター63(チョキ) - 勝者: コンピューター82
ルーム2: コンピューター99(パ―) vs コンピューター2(グー) - 勝者: コンピューター99
ルーム3: コンピューター91(グー) vs コンピューター58(パ―) - 勝者: コンピューター58
ルーム4: コンピューター51(チョキ) vs コンピューター69(パ―) - 勝者: コンピューター51
ルーム5: コンピューター17(グー) vs コンピューター24(パ―) - 勝者: コンピューター24
ルーム6: コンピューター10(チョキ) vs コンピューター68(チョキ) - あいこ
ルーム6: コンピューター10(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム7: コンピューター22(チョキ) vs コンピューター89(チョキ) - あいこ
ルーム7: コンピューター22(パ―) vs コンピューター89(パ―) - あいこ
ルーム7: コンピューター22(チョキ) vs コンピューター89(グー) - 勝者: コンピューター89
ルーム8: コンピューター90(パ―) vs コンピューター53(パ―) - あいこ
ルーム8: コンピューター90(パ―) vs コンピューター53(グー) - 勝者: コンピューター90
ルーム9: コンピューター73(パ―) vs コンピューター66(チョキ) - 勝者: コンピューター66
ルーム10: コンピューター61(チョキ) vs コンピューター31(パ―) - 勝者: コンピューター61
ルーム11: コンピューター14(チョキ) vs コンピューター45(チョキ) - あいこ
ルーム11: コンピューター14(パ―) vs コンピューター45(グー) - 勝者: コンピューター14
ルーム12: コンピューター70(グー) vs コンピューター100(チョキ) - 勝者: コンピューター70
ルーム13: コンピューター43(チョキ) vs コンピューター26(パ―) - 勝者: コンピューター43
ルーム14: コンピューター32(グー) vs コンピューター7(チョキ) - 勝者: コンピューター32
ルーム15: コンピューター35(チョキ) vs コンピューター8(グー) - 勝者: コンピューター8
ルーム16: コンピューター16(グー) vs コンピューター20(グー) - あいこ
ルーム16: コンピューター16(パ―) vs コンピューター20(チョキ) - 勝者: コンピューター20
ルーム17: コンピューター12(グー) vs コンピューター9(チョキ) - 勝者: コンピューター12
ルーム18: コンピューター59(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム19: コンピューター4(グー) vs コンピューター6(チョキ) - 勝者: コンピューター4
ルーム20: コンピューター15(パ―) vs コンピューター21(チョキ) - 勝者: コンピューター21
ルーム21: コンピューター27(パ―) vs コンピューター30(グー) - 勝者: コンピューター27
ルーム22: コンピューター39(グー) vs コンピューター41(チョキ) - 勝者: コンピューター39
ルーム23: コンピューター42(チョキ) vs コンピューター44(チョキ) - あいこ
ルーム23: コンピューター42(パ―) vs コンピューター44(パ―) - あいこ
ルーム23: コンピューター42(チョキ) vs コンピューター44(パ―) - 勝者: コンピューター42
ルーム24: コンピューター46(チョキ) vs コンピューター48(チョキ) - あいこ
ルーム24: コンピューター46(グー) vs コンピューター48(チョキ) - 勝者: コンピューター46
ルーム25: コンピューター52(チョキ) vs コンピューター54(パ―) - 勝者: コンピューター52
ルーム26: コンピューター55(グー) vs コンピューター56(パ―) - 勝者: コンピューター56
ルーム27: コンピューター57(チョキ) vs コンピューター64(グー) - 勝者: コンピューター64
ルーム28: コンピューター65(グー) vs コンピューター75(グー) - あいこ
ルーム28: コンピューター65(グー) vs コンピューター75(パ―) - 勝者: コンピューター75
ルーム29: コンピューター77(グー) vs コンピューター80(グー) - あいこ
ルーム29: コンピューター77(パ―) vs コンピューター80(パ―) - あいこ
ルーム29: コンピューター77(グー) vs コンピューター80(チョキ) - 勝者: コンピューター77
ルーム30: コンピューター84(パ―) vs コンピューター85(チョキ) - 勝者: コンピューター85
ルーム31: コンピューター92(パ―) vs コンピューター94(グー) - 勝者: コンピューター92
ルーム32: コンピューター95(グー) vs コンピューター97(パ―) - 勝者: コンピューター97
ルーム1: コンピューター82(グー) vs コンピューター99(パ―) - 勝者: コンピューター99
ルーム2: コンピューター58(パ―) vs コンピューター51(チョキ) - 勝者: コンピューター51
ルーム3: コンピューター24(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム4: コンピューター89(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム5: コンピューター66(チョキ) vs コンピューター61(チョキ) - あいこ
ルーム5: コンピューター66(グー) vs コンピューター61(グー) - あいこ
ルーム5: コンピューター66(パ―) vs コンピューター61(パ―) - あいこ
ルーム5: コンピューター66(チョキ) vs コンピューター61(チョキ) - あいこ
ルーム5: コンピューター66(グー) vs コンピューター61(グー) - あいこ
ルーム5: コンピューター66(グー) vs コンピューター61(グー) - あいこ
ルーム5: コンピューター66(パ―) vs コンピューター61(パ―) - あいこ
ルーム5: コンピューター66(パ―) vs コンピューター61(パ―) - あいこ
ルーム5: コンピューター66(グー) vs コンピューター61(チョキ) - 勝者: コンピューター66
ルーム6: コンピューター14(パ―) vs コンピューター70(グー) - 勝者: コンピューター14
ルーム7: コンピューター43(チョキ) vs コンピューター32(グー) - 勝者: コンピューター32
ルーム8: コンピューター8(グー) vs コンピューター20(チョキ) - 勝者: コンピューター8
ルーム9: コンピューター12(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム10: コンピューター4(グー) vs コンピューター21(チョキ) - 勝者: コンピューター4
ルーム11: コンピューター27(パ―) vs コンピューター39(グー) - 勝者: コンピューター27
ルーム12: コンピューター42(チョキ) vs コンピューター46(グー) - 勝者: コンピューター46
ルーム13: コンピューター52(チョキ) vs コンピューター56(パ―) - 勝者: コンピューター52
ルーム14: コンピューター64(グー) vs コンピューター75(パ―) - 勝者: コンピューター75
ルーム15: コンピューター77(グー) vs コンピューター85(チョキ) - 勝者: コンピューター77
ルーム16: コンピューター92(パ―) vs コンピューター97(パ―) - あいこ
ルーム16: コンピューター92(グー) vs コンピューター97(グー) - あいこ
ルーム16: コンピューター92(グー) vs コンピューター97(グー) - あいこ
ルーム16: コンピューター92(パ―) vs コンピューター97(グー) - 勝者: コンピューター92
ルーム1: コンピューター99(パ―) vs コンピューター51(チョキ) - 勝者: コンピューター51
ルーム2: コンピューター68(チョキ) vs コンピューター90(パ―) - 勝者: コンピューター68
ルーム3: コンピューター66(グー) vs コンピューター14(パ―) - 勝者: コンピューター14
ルーム4: コンピューター32(グー) vs コンピューター8(グー) - あいこ
ルーム4: コンピューター32(パ―) vs コンピューター8(グー) - 勝者: コンピューター32
ルーム5: コンピューター83(パ―) vs コンピューター4(グー) - 勝者: コンピューター83
ルーム6: コンピューター27(パ―) vs コンピューター46(グー) - 勝者: コンピューター27
ルーム7: コンピューター52(チョキ) vs コンピューター75(パ―) - 勝者: コンピューター52
ルーム8: コンピューター77(グー) vs コンピューター92(パ―) - 勝者: コンピューター92
ルーム1: コンピューター51(チョキ) vs コンピューター68(チョキ) - あいこ
ルーム1: コンピューター51(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム2: コンピューター14(パ―) vs コンピューター32(パ―) - あいこ
ルーム2: コンピューター14(チョキ) vs コンピューター32(チョキ) - あいこ
ルーム2: コンピューター14(グー) vs コンピューター32(チョキ) - 勝者: コンピューター14
ルーム3: コンピューター83(パ―) vs コンピューター27(パ―) - あいこ
ルーム3: コンピューター83(グー) vs コンピューター27(チョキ) - 勝者: コンピューター83
ルーム4: コンピューター52(チョキ) vs コンピューター92(パ―) - 勝者: コンピューター52
ルーム1: コンピューター68(チョキ) vs コンピューター14(グー) - 勝者: コンピューター14
ルーム2: コンピューター83(グー) vs コンピューター52(チョキ) - 勝者: コンピューター83
ルーム1: コンピューター14(グー) vs コンピューター83(グー) - あいこ
ルーム1: コンピューター14(グー) vs コンピューター83(チョキ) - 勝者: コンピューター14
ルーム1: コンピューター24(チョキ) vs コンピューター70(チョキ) - あいこ
ルーム1: コンピューター24(グー) vs コンピューター70(パ―) - 勝者: コンピューター70
ルーム2: コンピューター100(グー) vs コンピューター8(グー) - あいこ
ルーム2: コンピューター100(グー) vs コンピューター8(パ―) - 勝者: コンピューター8
ルーム3: コンピューター1(チョキ) vs コンピューター91(パ―) - 勝者: コンピューター1
ルーム4: コンピューター25(パ―) vs コンピューター69(チョキ) - 勝者: コンピューター69
ルーム5: コンピューター51(グー) vs コンピューター29(パ―) - 勝者: コンピューター29
ルーム6: コンピューター57(チョキ) vs コンピューター74(パ―) - 勝者: コンピューター57
ルーム7: コンピューター26(グー) vs コンピューター48(パ―) - 勝者: コンピューター48
ルーム8: コンピューター73(チョキ) vs コンピューター33(パ―) - 勝者: コンピューター73
ルーム9: コンピューター34(チョキ) vs コンピューター30(グー) - 勝者: コンピューター30
ルーム10: コンピューター43(パ―) vs コンピューター21(グー) - 勝者: コンピューター43
ルーム11: コンピューター42(グー) vs コンピューター13(チョキ) - 勝者: コンピューター42
ルーム12: コンピューター66(パ―) vs コンピューター41(チョキ) - 勝者: コンピューター41
ルーム13: コンピューター20(チョキ) vs コンピューター17(グー) - 勝者: コンピューター17
ルーム14: コンピューター22(パ―) vs コンピューター94(チョキ) - 勝者: コンピューター94
ルーム15: コンピューター90(グー) vs コンピューター46(チョキ) - 勝者: コンピューター90
ルーム16: コンピューター27(グー) vs コンピューター54(グー) - あいこ
ルーム16: コンピューター27(チョキ) vs コンピューター54(チョキ) - あいこ
ルーム16: コンピューター27(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム17: コンピューター88(グー) vs コンピューター15(チョキ) - 勝者: コンピューター88
ルーム18: コンピューター7(パ―) vs コンピューター72(パ―) - あいこ
ルーム18: コンピューター7(パ―) vs コンピューター72(チョキ) - 勝者: コンピューター72
ルーム19: コンピューター77(グー) vs コンピューター85(チョキ) - 勝者: コンピューター77
ルーム20: コンピューター12(グー) vs コンピューター92(グー) - あいこ
ルーム20: コンピューター12(チョキ) vs コンピューター92(チョキ) - あいこ
ルーム20: コンピューター12(グー) vs コンピューター92(グー) - あいこ
ルーム20: コンピューター12(グー) vs コンピューター92(パ―) - 勝者: コンピューター92
ルーム21: コンピューター96(パ―) vs コンピューター9(パ―) - あいこ
ルーム21: コンピューター96(パ―) vs コンピューター9(チョキ) - 勝者: コンピューター9
ルーム22: コンピューター64(チョキ) vs コンピューター37(パ―) - 勝者: コンピューター64
ルーム23: コンピューター93(パ―) vs コンピューター80(チョキ) - 勝者: コンピューター80
ルーム24: コンピューター86(チョキ) vs コンピューター16(パ―) - 勝者: コンピューター86
ルーム25: コンピューター95(パ―) vs コンピューター18(チョキ) - 勝者: コンピューター18
ルーム26: コンピューター65(グー) vs コンピューター50(チョキ) - 勝者: コンピューター65
ルーム27: コンピューター98(チョキ) vs コンピューター36(グー) - 勝者: コンピューター36
ルーム28: コンピューター5(パ―) vs コンピューター97(チョキ) - 勝者: コンピューター97
ルーム29: コンピューター89(パ―) vs コンピューター58(パ―) - あいこ
ルーム29: コンピューター89(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム29: コンピューター89(パ―) vs コンピューター58(パ―) - あいこ
ルーム29: コンピューター89(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム29: コンピューター89(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム29: コンピューター89(パ―) vs コンピューター58(グー) - 勝者: コンピューター89
ルーム30: コンピューター62(チョキ) vs コンピューター55(パ―) - 勝者: コンピューター62
ルーム31: コンピューター76(グー) vs コンピューター53(グー) - あいこ
ルーム31: コンピューター76(パ―) vs コンピューター53(グー) - 勝者: コンピューター76
ルーム32: コンピューター79(パ―) vs コンピューター59(グー) - 勝者: コンピューター79
ルーム33: コンピューター4(パ―) vs コンピューター28(パ―) - あいこ
ルーム33: コンピューター4(チョキ) vs コンピューター28(パ―) - 勝者: コンピューター4
ルーム34: コンピューター49(グー) vs コンピューター31(チョキ) - 勝者: コンピューター49
ルーム35: コンピューター44(グー) vs コンピューター60(パ―) - 勝者: コンピューター60
ルーム36: コンピューター68(パ―) vs コンピューター99(パ―) - あいこ
ルーム36: コンピューター68(チョキ) vs コンピューター99(チョキ) - あいこ
ルーム36: コンピューター68(パ―) vs コンピューター99(パ―) - あいこ
ルーム36: コンピューター68(パ―) vs コンピューター99(グー) - 勝者: コンピューター68
ルーム1: コンピューター70(パ―) vs コンピューター8(パ―) - あいこ
ルーム1: コンピューター70(チョキ) vs コンピューター8(チョキ) - あいこ
ルーム1: コンピューター70(グー) vs コンピューター8(グー) - あいこ
ルーム1: コンピューター70(グー) vs コンピューター8(グー) - あいこ
ルーム1: コンピューター70(グー) vs コンピューター8(チョキ) - 勝者: コンピューター70
ルーム2: コンピューター1(チョキ) vs コンピューター69(チョキ) - あいこ
ルーム2: コンピューター1(チョキ) vs コンピューター69(グー) - 勝者: コンピューター69
ルーム3: コンピューター29(パ―) vs コンピューター57(チョキ) - 勝者: コンピューター57
ルーム4: コンピューター48(パ―) vs コンピューター73(チョキ) - 勝者: コンピューター73
ルーム5: コンピューター30(グー) vs コンピューター43(パ―) - 勝者: コンピューター43
ルーム6: コンピューター42(グー) vs コンピューター41(チョキ) - 勝者: コンピューター42
ルーム7: コンピューター17(グー) vs コンピューター94(チョキ) - 勝者: コンピューター17
ルーム8: コンピューター90(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム9: コンピューター88(グー) vs コンピューター72(チョキ) - 勝者: コンピューター88
ルーム10: コンピューター77(グー) vs コンピューター92(パ―) - 勝者: コンピューター92
ルーム11: コンピューター9(チョキ) vs コンピューター64(チョキ) - あいこ
ルーム11: コンピューター9(グー) vs コンピューター64(チョキ) - 勝者: コンピューター9
ルーム12: コンピューター80(チョキ) vs コンピューター86(チョキ) - あいこ
ルーム12: コンピューター80(チョキ) vs コンピューター86(チョキ) - あいこ
ルーム12: コンピューター80(チョキ) vs コンピューター86(チョキ) - あいこ
ルーム12: コンピューター80(チョキ) vs コンピューター86(グー) - 勝者: コンピューター86
ルーム13: コンピューター18(チョキ) vs コンピューター65(グー) - 勝者: コンピューター65
ルーム14: コンピューター36(グー) vs コンピューター97(チョキ) - 勝者: コンピューター36
ルーム15: コンピューター89(パ―) vs コンピューター62(チョキ) - 勝者: コンピューター62
ルーム16: コンピューター76(パ―) vs コンピューター79(パ―) - あいこ
ルーム16: コンピューター76(パ―) vs コンピューター79(チョキ) - 勝者: コンピューター79
ルーム17: コンピューター4(チョキ) vs コンピューター49(グー) - 勝者: コンピューター49
ルーム18: コンピューター60(パ―) vs コンピューター68(パ―) - あいこ
ルーム18: コンピューター60(グー) vs コンピューター68(グー) - あいこ
ルーム18: コンピューター60(チョキ) vs コンピューター68(チョキ) - あいこ
ルーム18: コンピューター60(チョキ) vs コンピューター68(パ―) - 勝者: コンピューター60
ルーム19: コンピューター2(チョキ) vs コンピューター3(パ―) - 勝者: コンピューター2
ルーム20: コンピューター6(グー) vs コンピューター10(チョキ) - 勝者: コンピューター6
ルーム21: コンピューター11(グー) vs コンピューター14(グー) - あいこ
ルーム21: コンピューター11(グー) vs コンピューター14(チョキ) - 勝者: コンピューター11
ルーム22: コンピューター19(グー) vs コンピューター23(グー) - あいこ
ルーム22: コンピューター19(パ―) vs コンピューター23(グー) - 勝者: コンピューター19
ルーム23: コンピューター32(チョキ) vs コンピューター35(チョキ) - あいこ
ルーム23: コンピューター32(グー) vs コンピューター35(グー) - あいこ
ルーム23: コンピューター32(パ―) vs コンピューター35(チョキ) - 勝者: コンピューター35
ルーム24: コンピューター38(チョキ) vs コンピューター39(グー) - 勝者: コンピューター39
ルーム25: コンピューター40(チョキ) vs コンピューター45(グー) - 勝者: コンピューター45
ルーム26: コンピューター47(パ―) vs コンピューター52(グー) - 勝者: コンピューター47
ルーム27: コンピューター56(パ―) vs コンピューター61(チョキ) - 勝者: コンピューター61
ルーム28: コンピューター63(チョキ) vs コンピューター67(チョキ) - あいこ
ルーム28: コンピューター63(チョキ) vs コンピューター67(パ―) - 勝者: コンピューター63
ルーム29: コンピューター71(チョキ) vs コンピューター75(グー) - 勝者: コンピューター75
ルーム30: コンピューター78(グー) vs コンピューター81(チョキ) - 勝者: コンピューター78
ルーム31: コンピューター82(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム32: コンピューター84(パ―) vs コンピューター87(パ―) - あいこ
ルーム32: コンピューター84(パ―) vs コンピューター87(パ―) - あいこ
ルーム32: コンピューター84(チョキ) vs コンピューター87(チョキ) - あいこ
ルーム32: コンピューター84(パ―) vs コンピューター87(パ―) - あいこ
ルーム32: コンピューター84(グー) vs コンピューター87(パ―) - 勝者: コンピューター87
ルーム1: コンピューター70(グー) vs コンピューター69(グー) - あいこ
ルーム1: コンピューター70(チョキ) vs コンピューター69(パ―) - 勝者: コンピューター70
ルーム2: コンピューター57(チョキ) vs コンピューター73(チョキ) - あいこ
ルーム2: コンピューター57(グー) vs コンピューター73(パ―) - 勝者: コンピューター73
ルーム3: コンピューター43(パ―) vs コンピューター42(グー) - 勝者: コンピューター43
ルーム4: コンピューター17(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム5: コンピューター88(グー) vs コンピューター92(パ―) - 勝者: コンピューター92
ルーム6: コンピューター9(グー) vs コンピューター86(グー) - あいこ
ルーム6: コンピューター9(パ―) vs コンピューター86(グー) - 勝者: コンピューター9
ルーム7: コンピューター65(グー) vs コンピューター36(グー) - あいこ
ルーム7: コンピューター65(チョキ) vs コンピューター36(グー) - 勝者: コンピューター36
ルーム8: コンピューター62(チョキ) vs コンピューター79(チョキ) - あいこ
ルーム8: コンピューター62(チョキ) vs コンピューター79(パ―) - 勝者: コンピューター62
ルーム9: コンピューター49(グー) vs コンピューター60(チョキ) - 勝者: コンピューター49
ルーム10: コンピューター2(チョキ) vs コンピューター6(グー) - 勝者: コンピューター6
ルーム11: コンピューター11(グー) vs コンピューター19(パ―) - 勝者: コンピューター19
ルーム12: コンピューター35(チョキ) vs コンピューター39(グー) - 勝者: コンピューター39
ルーム13: コンピューター45(グー) vs コンピューター47(パ―) - 勝者: コンピューター47
ルーム14: コンピューター61(チョキ) vs コンピューター63(チョキ) - あいこ
ルーム14: コンピューター61(チョキ) vs コンピューター63(パ―) - 勝者: コンピューター61
ルーム15: コンピューター75(グー) vs コンピューター78(グー) - あいこ
ルーム15: コンピューター75(パ―) vs コンピューター78(パ―) - あいこ
ルーム15: コンピューター75(パ―) vs コンピューター78(パ―) - あいこ
ルーム15: コンピューター75(グー) vs コンピューター78(パ―) - 勝者: コンピューター78
ルーム16: コンピューター83(パ―) vs コンピューター87(パ―) - あいこ
ルーム16: コンピューター83(パ―) vs コンピューター87(グー) - 勝者: コンピューター83
ルーム1: コンピューター70(チョキ) vs コンピューター73(パ―) - 勝者: コンピューター70
ルーム2: コンピューター43(パ―) vs コンピューター54(パ―) - あいこ
ルーム2: コンピューター43(グー) vs コンピューター54(チョキ) - 勝者: コンピューター43
ルーム3: コンピューター92(パ―) vs コンピューター9(パ―) - あいこ
ルーム3: コンピューター92(パ―) vs コンピューター9(パ―) - あいこ
ルーム3: コンピューター92(チョキ) vs コンピューター9(チョキ) - あいこ
ルーム3: コンピューター92(チョキ) vs コンピューター9(チョキ) - あいこ
ルーム3: コンピューター92(グー) vs コンピューター9(パ―) - 勝者: コンピューター9
ルーム4: コンピューター36(グー) vs コンピューター62(チョキ) - 勝者: コンピューター36
ルーム5: コンピューター49(グー) vs コンピューター6(グー) - あいこ
ルーム5: コンピューター49(チョキ) vs コンピューター6(パ―) - 勝者: コンピューター49
ルーム6: コンピューター19(パ―) vs コンピューター39(グー) - 勝者: コンピューター19
ルーム7: コンピューター47(パ―) vs コンピューター61(チョキ) - 勝者: コンピューター61
ルーム8: コンピューター78(パ―) vs コンピューター83(パ―) - あいこ
ルーム8: コンピューター78(パ―) vs コンピューター83(チョキ) - 勝者: コンピューター83
ルーム1: コンピューター70(チョキ) vs コンピューター43(グー) - 勝者: コンピューター43
ルーム2: コンピューター9(パ―) vs コンピューター36(グー) - 勝者: コンピューター9
ルーム3: コンピューター49(チョキ) vs コンピューター19(パ―) - 勝者: コンピューター49
ルーム4: コンピューター61(チョキ) vs コンピューター83(チョキ) - あいこ
ルーム4: コンピューター61(パ―) vs コンピューター83(チョキ) - 勝者: コンピューター83
ルーム1: コンピューター43(グー) vs コンピューター9(パ―) - 勝者: コンピューター9
ルーム2: コンピューター49(チョキ) vs コンピューター83(チョキ) - あいこ
ルーム2: コンピューター49(チョキ) vs コンピューター83(グー) - 勝者: コンピューター83
ルーム1: コンピューター9(パ―) vs コンピューター83(グー) - 勝者: コンピューター9
ルーム1: コンピューター28(チョキ) vs コンピューター72(グー) - 勝者: コンピューター72
ルーム2: コンピューター5(グー) vs コンピューター13(パ―) - 勝者: コンピューター13
ルーム3: コンピューター1(パ―) vs コンピューター9(グー) - 勝者: コンピューター1
ルーム4: コンピューター60(チョキ) vs コンピューター21(パ―) - 勝者: コンピューター60
ルーム5: コンピューター35(チョキ) vs コンピューター22(チョキ) - あいこ
ルーム5: コンピューター35(グー) vs コンピューター22(グー) - あいこ
ルーム5: コンピューター35(パ―) vs コンピューター22(グー) - 勝者: コンピューター35
ルーム6: コンピューター3(グー) vs コンピューター42(パ―) - 勝者: コンピューター42
ルーム7: コンピューター83(パ―) vs コンピューター41(パ―) - あいこ
ルーム7: コンピューター83(パ―) vs コンピューター41(チョキ) - 勝者: コンピューター41
ルーム8: コンピューター89(パ―) vs コンピューター23(パ―) - あいこ
ルーム8: コンピューター89(グー) vs コンピューター23(グー) - あいこ
ルーム8: コンピューター89(チョキ) vs コンピューター23(パ―) - 勝者: コンピューター89
ルーム9: コンピューター20(パ―) vs コンピューター30(パ―) - あいこ
ルーム9: コンピューター20(チョキ) vs コンピューター30(グー) - 勝者: コンピューター30
ルーム10: コンピューター94(パ―) vs コンピューター70(チョキ) - 勝者: コンピューター70
ルーム11: コンピューター85(グー) vs コンピューター53(チョキ) - 勝者: コンピューター85
ルーム12: コンピューター90(パ―) vs コンピューター19(グー) - 勝者: コンピューター90
ルーム13: コンピューター26(チョキ) vs コンピューター95(チョキ) - あいこ
ルーム13: コンピューター26(チョキ) vs コンピューター95(グー) - 勝者: コンピューター95
ルーム14: コンピューター87(グー) vs コンピューター50(チョキ) - 勝者: コンピューター87
ルーム15: コンピューター47(チョキ) vs コンピューター43(グー) - 勝者: コンピューター43
ルーム16: コンピューター88(パ―) vs コンピューター55(グー) - 勝者: コンピューター88
ルーム17: コンピューター67(グー) vs コンピューター78(パ―) - 勝者: コンピューター78
ルーム18: コンピューター97(チョキ) vs コンピューター86(チョキ) - あいこ
ルーム18: コンピューター97(グー) vs コンピューター86(チョキ) - 勝者: コンピューター97
ルーム19: コンピューター79(パ―) vs コンピューター15(グー) - 勝者: コンピューター79
ルーム20: コンピューター16(パ―) vs コンピューター39(グー) - 勝者: コンピューター16
ルーム21: コンピューター80(グー) vs コンピューター51(グー) - あいこ
ルーム21: コンピューター80(グー) vs コンピューター51(パ―) - 勝者: コンピューター51
ルーム22: コンピューター58(グー) vs コンピューター59(チョキ) - 勝者: コンピューター58
ルーム23: コンピューター32(パ―) vs コンピューター40(チョキ) - 勝者: コンピューター40
